customer_id,name,age,city,email,total_purchase
C001,Arun Kumar,24.0,Chennai,arun@gmail.com,12500
C002,Priya Sharma,29.0,Madurai,priya@gmail.com,8700
C003,Ravi Kumar,35.0,Chennai,ravi@gmail.com,15300
C004,Kumar Raj,27.0,Madurai,kumar@gmail.com,4200
C005,Meena Devi,28.0,Chennai,meena@gmail.com,11200
C006,Suresh Babu,,Madurai,suresh@gmail.com,6500
C007,Anu Priya,24.0,Chennai,anu@gmail.com,9800
C008,Rahul Das,30.0,Coimbatore,,7200
C009,Divya Raj,27.0,Chennai,divya@gmail.com,14500
C010,Arun Kumar,24.0,Chennai,arun@gmail.com,12500
